,query,predicted_mql,actual_iMQL_phrased,INDEX
80,Envelopes & Thailand - what's the profit ratio?,"{'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'profits ratio': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'envelopes': 'Envelopes'}], 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}}","{'FILTER': {'Envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}], 'Thailand': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}]}, 'DERIVED MEASURE': {'profit ratio': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'Envelopes': 'Envelopes'}], 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}}",80
81,Which subcategory has over 50k discount percentage?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}}",{'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}},81
82,How did profits and sales relate in the 1st quarter of the previous year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'1st quarter of the previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DERIVED MEASURE': {'relate': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'profits': 'Profit'}, {'sales': 'Sales'}]}]}, 'DATE VARIABLE': {'1st quarter of the previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",82
83,"Profits changed in last 10 days, why?","{'DERIVED MEASURE': {'profits changed': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'changed': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}, {'ENTITY': 'why', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",83
84,Kenya: 15 days sales?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'MEASURE': {'15 days sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}",84
85,What was the discount % forecast for Guinea in the last quarter?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",85
86,What caused the change in El Salvador's profit contribution in Q1 last year?,"{'DERIVED MEASURE': {'profits': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'Q1 last year'}]}}","{'DERIVED MEASURE': {'change': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profit': 'Profit'}]}], 'contribution': [{'ENTITY': 'ratio'}], 'cause of': [{'ENTITY': 'why'}]}, 'DATE VARIABLE': {'Q1 last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",86
87,Show product names based on monthly trends,"{'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'monthly trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}","{'DIMENSION': {'product names': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'monthly trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",87
88,"When did Haiti's discount percentage and sales first exceed 20,000 in the past 10 months?","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}], 'ADJECTIVE': ['first']}], 'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}], 'ADJECTIVE': ['first']}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}], 'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'past 10 months'}]}}",88
89,Bottom product names by monthly profit trends?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'monthly trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product names': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'monthly profit trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",89
90,Last quarter guinea discount % trend?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'DERIVED MEASURE': {'discount %': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'Last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",90
91,Q1 last year: products with major profit growth contribution?,"{'DIMENSION': {'products': [{'ENTITY': 'Product Name'}]}, 'DERIVED MEASURE': {'profit growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}]}}","{'DIMENSION': {'products': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'major', 'RANK VALUE': ''}]}]}, 'DERIVED MEASURE': {'profit growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profit': 'Profit'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}]}}",91
92,"Customer ID's profits & discounts, last 10 days?","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'Customer ID': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",92
93,Identify bottom subcategories by discount percentage contribution trend,"{'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount percentage contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'trend'}]}}","{'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount percentage contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}",93
94,15-day sales % for Kenya & S,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'Kenya & S': [{'ENTITY': 'Country'}]}, 'DERIVED MEASURE': {'%': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}, 'DATE VARIABLE': {'15-day': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}, 'DERIVED MEASURE': {'percent': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'n-gram matched to MEASURE': 'sales', 'Matched MEASURE': 'Sales'}]}]}, 'DATE VARIABLE': {'15-day': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}",94
95,Discount percentage trend share: top countries?,"{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}",95
96,Sales drivers for Kenya & S,"{'DERIVED MEASURE': {'sales drivers': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}}","{'DERIVED MEASURE': {'drivers': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'sales': 'Sales'}]}]}}",96
97,Top customer IDs by profit share trend in past 10 days?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}, 'DATE VARIABLE': {'past 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",97
98,Ship modes with sales over 50k?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'ship modes': [{'ENTITY': 'Ship Mode'}]}}",98
99,How does discount % relate to shipping cost?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}, {'shipping cost': 'Shipping Cost'}]}]}}","{'DERIVED MEASURE': {'relate': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'discount %': 'Discount percentage'}, {'shipping cost': 'Shipping Cost'}]}]}}",99
100,Which products have 10k+ profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '+'}]}]}, 'DIMENSION': {'products': [{'ENTITY': 'Product Name'}]}}",100
101,"Which countries, besides Germany & Rwanda, offer the most significant discounts?","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'most significant', 'RANK VALUE': '1'}]}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount', 'ADJECTIVE': ['most significant'], 'TONE': 'positive'}]}, 'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}}",101
102,What's the discount percentage growth trend over 2 months?,"{'DERIVED MEASURE': {'discount percentage growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': {'discount percentage': 'Discount percentage'}, 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'DERIVED MEASURE': {'growth trend': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'over 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",102
103,At what time was the Haiti-Central Asia discount percentage ratio at its lowest?,"{'DERIVED MEASURE': {'ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date'}]}}","{'DERIVED MEASURE': {'discount percentage ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'time': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'time'}]}}",103
104,Countries based on annual trends?,"{'DIMENSION': {'countries': [{'ENTITY': 'Country'}]}, 'DATE VARIABLE': {'annual trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}","{'DIMENSION': {'countries': [{'ENTITY': 'Country'}]}, 'DATE VARIABLE': {'annual trends': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}",104
105,When did Guinea have the smallest discount in previous quarter?,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'smallest discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['smallest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",105
106,Discount percentage depends on what factors?,"{'DERIVED MEASURE': {'driver': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}}",{},106
107,Which subcategories had the lowest discounts in the previous quarter?,"{'MEASURE': {'discounts': [{'ENTITY': 'Discount percentage', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'lowest', 'RANK VALUE': '1'}], 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",107
108,What's the 2-month discount % for guinea?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",108
109,Last 10 days: top customer IDs based on growth contribution to overall profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer ID': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '10'}]}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'DIMENSION': {'customer IDs': [{'ENTITY': 'Customer ID', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'Last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",109
110,"Last quarter, when did discount+shipping cost first exceed 50k?","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}], 'shipping cost': [{'ENTITY': 'Shipping Cost', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '50k', 'COMPARISON OPERATOR': '>'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount+shipping cost': [{'ENTITY': 'Discount'}, {'ENTITY': 'Shipping Cost'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",110
111,Cities with >20k discount contribution in Mar '22?,"{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'discount contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DATE VARIABLE': {'Mar '22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'error_output': '{\n    ""MEASURE"": {\n        ""discount"": [\n            {\n                ""ENTITY"": ""Discount"",\n                ""MEASURE CONSTRAINT"": [\n                    {\n                        ""COMPARISON VALUE"": ""20000"",\n                        ""COMPARISON OPERATOR"": "">""\n                    }\n                ],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DIMENSION"": {\n        ""cities"": [\n            {\n                ""ENTITY"": ""City"",\n                ""RANK"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""FILTER"": {},\n    ""DERIVED MEASURE"": {\n        ""contribution"": [\n            {\n                ""ENTITY"": ""ratio"",\n                ""RATIO FILTER"": [],\n                ""APPLIED MEASURE"": [],\n                ""DERIVED MEASURE CONSTRAINT"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DATE VARIABLE"": {\n        ""Mar \'22"": [\n            {\n                ""ENTITY"": ""Order Date"",\n                ""CONVERTED TIME ELEMENT"": ""March 2022""\n            }\n        ]\n    }\n}'}",111
112,What are the subcategories for each discount %?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}}",{'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category'}]}},112
113,Profit growth rate/month in 1st quarter last yr?,"{'DERIVED MEASURE': {'profit growth rate/month': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'1st quarter last yr': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}","{'MEASURE': {'Profit': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'Profit': 'Profit'}]}]}, 'DATE VARIABLE': {'1st quarter last yr': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",113
114,Show ship modes by sales growth rate in the last 15 days,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}, 'DATE VARIABLE': {'last 15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'DIMENSION': {'ship modes': [{'ENTITY': 'Ship Mode'}]}, 'DERIVED MEASURE': {'sales growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'sales': 'Sales'}]}]}, 'DATE VARIABLE': {'last 15 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}",114
115,When were earnings at their lowest in the past 10 days?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['lowest'], 'TONE': 'negative'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'earnings': [{'ENTITY': 'Profit'}]}, 'FILTER': {'lowest': [{'ENTITY': 'Low', 'PARENT': 'Order Priority'}]}, 'DATE VARIABLE': {'When': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",115
116,Envelopes' profit share in the last 10 days?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'profit share': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'envelopes': 'Envelopes'}], 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'FILTER': {'Envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'RATIO FILTER': [{'Envelopes': 'Envelopes'}], 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",116
117,What's the discount percentage trend for Haiti over 2,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'trend'}]}}","{'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 days'}]}}",117
118,"Cities' discounts & quantities, 03/2022?","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'03/2022?': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'03/2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}",118
119,Which cities have the least monthly growth in discounts?,"{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'least', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'monthly growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'least', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'monthly growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discounts': 'Discount'}]}]}, 'DATE VARIABLE': {'monthly': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across months'}]}}",119
